ID;TipoEntrada_x;T_Envio;T_Resposta;TempoSeg;Entrada_x;Saida;match;Similaridade_Entrada;TipoEntrada_y;Entrada_y;SaidaEsperada;Similaridade_Resposta;Classificacao
6477534976;T3;1756507997.3148203;1756507998.0720346;0.76;Boa noite;Boa noite! Está precisando de algo?;Boa noite;0.99999994;T3;Boa noite;Boa noite! Está precisando de algo?;1.0;Preciso
6477534976;T3;1756508027.3501494;1756508028.097411;0.75;2+2;[Arithmetic] Resultado: 4;2+2;1.0000002;T3;2+2;Resultado:4;0.6383998;Parcial
6477534976;T3;1756508027.3501494;1756508028.097411;0.75;2+2;[Arithmetic] Resultado: 4;2+2;1.0000002;T1;2+2;Resultado:4;0.6383998;Parcial
6477534976;T3;1756508039.7554047;1756508040.508249;0.75;Bom dia;Bom dia! Como posso te ajudar hoje?;Bom dia;1.0000002;T3;Bom dia;Bom dia! Está precisando de algo?;0.6739881;Preciso
6477534976;T3;1756508069.4700935;1756508179.807454;110.34;Qual a pena final de ronaldo?;"Baseado no texto fornecido, a pena final para Ronaldo é de **6 anos, 2 meses e 20 dias de reclusão**, no regime inicial fechado, além do pagamento de **30 dias-multa**.

A decisão foi tomada levando em conta vários fatores, incluindo a reincidência específica do réu Ronaldo, sua confissão do crime, e a presença de uma associação criminosa especializada nesse tipo de delito. A reincidência específica aumentou a pena original, mas a confissão do réu proporcionou uma compensação parcial, resultando na pena final mencionada.";Qual a pena final de ronaldo?;1.0;T3;Qual a pena final de ronaldo?; 6 anos, 2 meses e vinte dias de reclusão;0.55152446;Parcial
6477534976;T3;1756508069.4700935;1756508179.807454;110.34;Qual a pena final de ronaldo?;"Baseado no texto fornecido, a pena final para Ronaldo é de **6 anos, 2 meses e 20 dias de reclusão**, no regime inicial fechado, além do pagamento de **30 dias-multa**.

A decisão foi tomada levando em conta vários fatores, incluindo a reincidência específica do réu Ronaldo, sua confissão do crime, e a presença de uma associação criminosa especializada nesse tipo de delito. A reincidência específica aumentou a pena original, mas a confissão do réu proporcionou uma compensação parcial, resultando na pena final mencionada.";Qual a pena final de ronaldo?;1.0;T1;Qual a pena final de ronaldo?; 6 anos, 2 meses e vinte dias de reclusão;0.55152446;Parcial
6477534976;T3;1756508197.7828104;1756508198.5425107;0.76;2*5;[Arithmetic] Resultado: 10;2*5;0.99999994;T3;2*5;Resultado:10;0.65518063;Preciso
6477534976;T3;1756508197.7828104;1756508198.5425107;0.76;2*5;[Arithmetic] Resultado: 10;2*5;0.99999994;T1;2*5;Resultado:10;0.65518063;Preciso
6477534976;T3;1756508237.4576411;1756508320.447387;82.99;Qual a pena base de ronaldo?;Baseado no texto fornecido, a pena base para Ronaldo foi de 04 anos e 08 meses de reclusão e pagamento de 23 dias-multa. No entanto, após considerar a reincidência específica e a confissão, a pena final para Ronaldo foi fixada em 06 anos, 02 meses e 20 dias de reclusão, no regime inicial fechado, e pagamento de 30 dias-multa.;Qual a pena base de ronaldo?;0.99999994;T3;Qual a pena base de ronaldo?;pena base: 04 anos e 08 meses de reclusâo + 20 dias multa;0.6956022;Preciso
6477534976;T3;1756508237.4576411;1756508320.447387;82.99;Qual a pena base de ronaldo?;Baseado no texto fornecido, a pena base para Ronaldo foi de 04 anos e 08 meses de reclusão e pagamento de 23 dias-multa. No entanto, após considerar a reincidência específica e a confissão, a pena final para Ronaldo foi fixada em 06 anos, 02 meses e 20 dias de reclusão, no regime inicial fechado, e pagamento de 30 dias-multa.;Qual a pena base de ronaldo?;0.99999994;T1;Qual a pena base de ronaldo?;pena base: 04 anos e 08 meses de reclusâo + 20 dias multa;0.6956022;Preciso
6477534976;T3;1756769875.9046464;1756769876.6729026;0.77;Boa noite;Boa noite! Está precisando de algo?;Boa noite;0.99999994;T3;Boa noite;Boa noite! Está precisando de algo?;1.0;Preciso
6477534976;T3;1756772400.4623256;1756772401.2198443;0.76;RG 1;[Arithmetic] Não foi possível calcular;RG 1;1.0;T2;RG 1; REPÚBLICA FEDERATIVA DO BRASIL MINISTÉRIO DAS CIDADES DEPARTAMENTO NACIONAL DE TRÂNSITO CARTEIRA NACIONAL DE HABILITAÇÃO NOME PESSONI VALDILEI EMY DOC. IDENTIDADE/ÓRG EMISSOR UF 732213587 SESP GO CPF 896.630.040-53 DATA NASCIMENTO 14/05/1996 599905390 O TERRITÓRIO NACIONAL VÁLIDA EM TODO FILIAÇÃO IONEDA MIYAKUCHI ZAV SANTOS FRAGA ADONIS CASAL LIMA Nº REGISTRO 07665700426 PERMISSÃO ACC CAT. HAB. B VALIDADE 20/02/2003 1ª HABILITAÇÃO 27/09/1969 OBSERVAÇÕES R ASSINATURA DO PORTADOR 010818800 PROIBIDO PLASTIFICAR LOCAL CLÁUDIO-MG NIGOGHOSSIAN NAYRA ASSINATURA DO EMISSOR DETRAN - MG (MINAS GERAIS) DATA EMISSÃO 17/06/2008 38942188160 RS434196567;0.2514734;Falha
6477534976;T3;1756836134.175397;1756836134.932147;0.76;Bom dia;Bom dia! Como posso te ajudar hoje?;Bom dia;1.0000001;T3;Bom dia;Bom dia! Está precisando de algo?;0.6739881;Preciso
6477534976;T3;1756836188.5957882;1756836189.3538632;0.76;Boa noite;Boa noite! Está precisando de algo?;Boa noite;0.9999997;T3;Boa noite;Boa noite! Está precisando de algo?;1.0;Preciso
